﻿Zeit von [CET/CEST];Zeit bis [CET/CEST];Gesamtlast [MW]
09.03.2025 06:00:00;09.03.2025 07:00:00;5627,100
09.03.2025 07:00:00;09.03.2025 08:00:00;5827,800
09.03.2025 08:00:00;09.03.2025 09:00:00;5939,200
09.03.2025 09:00:00;09.03.2025 10:00:00;5852,600
09.03.2025 10:00:00;09.03.2025 11:00:00;5735,900
09.03.2025 11:00:00;09.03.2025 12:00:00;5441,500
09.03.2025 12:00:00;09.03.2025 13:00:00;4956,200
09.03.2025 13:00:00;09.03.2025 14:00:00;4737,700
09.03.2025 14:00:00;09.03.2025 15:00:00;4788,500
09.03.2025 15:00:00;09.03.2025 16:00:00;5054,800
09.03.2025 16:00:00;09.03.2025 17:00:00;5674,800
09.03.2025 17:00:00;09.03.2025 18:00:00;6410,900
09.03.2025 18:00:00;09.03.2025 19:00:00;6737,900
09.03.2025 19:00:00;09.03.2025 20:00:00;6778,900
09.03.2025 20:00:00;09.03.2025 21:00:00;6555,900
09.03.2025 21:00:00;09.03.2025 22:00:00;6256,900
09.03.2025 22:00:00;09.03.2025 23:00:00;6231,900
09.03.2025 23:00:00;10.03.2025 00:00:00;5899,900
